cycle,time_s,position_mm,raw_value
3,0.6033,9.0693,9170
3,0.6081,8.9319,9203
3,0.612,8.7993,9240
3,0.6163,8.6667,9277
3,0.6212,8.5269,9316
3,0.6261,8.3943,9353
3,0.631,8.2545,9392
3,0.6349,8.1685,9416
3,0.6391,8.0573,9447
3,0.644,7.957,9467
3,0.649,7.7742,9484
3,0.6539,7.4731,9512
3,0.6588,7.4409,9515
3,0.6627,7.2688,9531
3,0.6669,7.086,9548
3,0.6717,6.8864,9566
3,0.6766,6.7273,9580
3,0.6805,6.6136,9590
3,0.6847,6.3523,9613
3,0.6896,6.2386,9623
3,0.6945,6.0455,9640
3,0.6994,5.9396,9655
3,0.7033,5.8352,9674
3,0.7076,5.6593,9706
3,0.7125,5.5495,9726
3,0.7174,5.3791,9757
3,0.7223,5.2088,9788
3,0.7272,5.1099,9806
3,0.7311,4.9578,9833
3,0.735,4.7892,9861
3,0.7393,4.6747,9880
3,0.7442,4.4699,9914
3,0.7491,4.3313,9937
3,0.753,4.2169,9956
3,0.7569,4.0723,9980
3,0.7611,3.8819,10009
3,0.766,3.6944,10036
3,0.7709,3.5,10064
3,0.7759,3.3264,10089
3,0.781,3.125,10118
3,0.7859,2.9324,10146
3,0.7907,2.8176,10163
3,0.795,2.6351,10190
3,0.7999,2.4797,10213
3,0.8048,2.3108,10238
3,0.8097,2.0946,10270
3,0.8146,2.0203,10281
3,0.8185,1.8938,10301
3,0.8228,1.75,10324
3,0.8277,1.6187,10345
3,0.8325,1.4937,10365
3,0.8364,1.3687,10385
3,0.8406,1.25,10404
3,0.8455,1.1,10428
3,0.8504,1.0,10444
3,0.8554,0.8596,10468
3,0.8603,0.7661,10484
3,0.8642,0.6491,10504
3,0.8684,0.5614,10519
3,0.8734,0.4561,10537
3,0.8782,0.3333,10558
3,0.8831,0.269,10569
4,-0.0317,0.4912,10531
4,-0.0278,0.5614,10519
4,-0.0235,0.6608,10502
4,-0.0187,0.7368,10489
4,-0.0137,0.8246,10474
4,-0.0088,0.9649,10450
4,-0.0039,1.0,10444
4,0.0,1.1313,10423
